Fiche client,Non,Prénom,E-mail,Âge,Sex,CIN,Activité,NumCompte,Décision,Décideur,Date decision,Date ouverture,Date de crédit,Montant de crédit,Code client,Nom de chargé clientèle,Solde Débit,Nature de compte,Mouvement,Référence dossier recouvrement,Cours de crédit,Anc,Anc debit (date)
1439,Burch,Lisa,katie86@example.org,62,M,201093820456,Autre activité,3823,Arrangement C.,CR,2020-08-11,2023-06-08,2022-12-08,226571,CUST1439,Crystal Nicholson,2310,Société,Retrait,REF1439,1.71,8,2022-06-22
1440,Owens,Jenna,marquezmatthew@example.com,48,M,383960432469,Autre activité,10371,Arrangement C.,CCT,2019-10-30,2023-04-17,2023-05-21,397017,CUST1440,Cynthia Pearson,774,Société,Virement,REF1440,3.49,6,2023-09-11
1441,Garrett,Brenda,austinmoore@example.com,59,F,744349486827,Santé,36989,Arrangement C.,CCT,2020-05-17,2023-02-06,2022-10-15,184386,CUST1441,Dennis King,2909,Société,Retrait,REF1441,1.93,10,2023-01-15
1442,Tate,Scott,rwhite@example.net,21,F,27619290191,Commerce et Dist.,27840,CTX,CCT,2022-03-29,2023-04-01,2023-09-23,504452,CUST1442,Charles Mccarthy,2091,TRE,Virement,REF1442,4.41,9,2022-01-04
1443,Johnson,Douglas,justin61@example.net,51,F,842835424900,Agriculture,76638,Arrangement C.,CCT,2020-06-30,2022-11-28,2023-05-02,378964,CUST1443,John Reeves,2528,Société,Virement,REF1443,4.91,7,2022-04-09
1444,Franklin,Julie,chadwilliams@example.net,45,F,66790507365,Autre activité,9024,CTX,CCT,2020-10-13,2023-09-21,2023-02-23,40698,CUST1444,Chad Ball,600,Personnel,Virement,REF1444,2.43,6,2022-08-31
1445,Benitez,Judy,hickstodd@example.net,70,F,419360363698,Commerce et Dist.,868,Arrangement C.,CCT,2021-03-17,2022-12-31,2023-03-02,614050,CUST1445,Robert Robertson,3527,TRE,Versement,REF1445,4.27,8,2022-06-22
1446,Smith,Joe,saundersmary@example.com,69,F,675500189657,Agriculture,95741,Arrangement C.,CR,2022-04-25,2023-06-10,2023-01-19,659317,CUST1446,Albert Lyons,2057,Personnel,Retrait,REF1446,3.95,7,2022-08-09
1447,Knox,Kaitlin,omiller@example.org,65,M,834469813375,Commerce et Dist.,16405,CTX,CCT,2022-04-16,2023-02-28,2022-11-09,73588,CUST1447,John King,167,TRE,Versement,REF1447,2.96,9,2023-08-28
1448,Mendoza,Eduardo,lynngarcia@example.com,58,M,584057747793,Commerce et Dist.,63998,CTX,CR,2018-11-26,2023-06-19,2023-08-15,712626,CUST1448,Olivia Walter,768,Société,Retrait,REF1448,3.48,5,2022-02-15
1449,Johnson,Isabella,jmontoya@example.com,22,M,188870085001,Tourisme,80949,CTX,CR,2023-09-04,2023-03-12,2022-10-10,900543,CUST1449,Bradley Brandt,1498,Personnel,Retrait,REF1449,3.97,9,2021-11-08
1450,Lynch,Andrea,catherinenunez@example.com,48,M,960174013029,Commerce et Dist.,18027,Arrangement C.,CR,2021-06-11,2022-12-19,2023-03-28,298762,CUST1450,Meagan Brock,3120,Personnel,Virement,REF1450,4.58,5,2022-03-01
1451,Hunt,Paul,lloydshane@example.com,56,F,312797105530,Commerce et Dist.,70466,Arrangement C.,CR,2021-06-24,2023-01-20,2023-07-24,490502,CUST1451,Kristen Cannon,2492,Personnel,Virement,REF1451,4.75,7,2022-09-10
1452,Mann,Amber,annawilliams@example.com,20,M,774008302237,Travaux Publics,21281,Arrangement C.,CCT,2019-05-04,2023-06-21,2023-05-30,878188,CUST1452,Dustin Wright,660,TRE,Retrait,REF1452,3.17,6,2023-05-17
1453,Thompson,Pamela,justin29@example.net,59,M,763012556503,Agriculture,27980,CTX,CR,2020-01-04,2023-02-18,2023-07-04,86335,CUST1453,Heather Pham,1082,Société,Virement,REF1453,2.66,2,2023-09-25
1454,Price,Amber,dharmon@example.net,50,M,140913796722,Commerce et Dist.,54341,Arrangement C.,CR,2022-02-19,2022-10-21,2023-09-13,944241,CUST1454,Lawrence Phillips,3198,TRE,Virement,REF1454,4.28,3,2023-04-29
1455,Campbell,Mary,maureenchan@example.com,26,F,915096744549,Commerce et Dist.,82086,CTX,CR,2023-08-28,2023-06-01,2022-12-21,230389,CUST1455,Nathan Smith,4070,TRE,Retrait,REF1455,1.17,8,2022-08-24
1456,Rivers,David,nortontammy@example.net,22,F,876434488436,Tourisme,44367,Arrangement C.,CR,2023-03-28,2023-02-09,2023-06-06,232003,CUST1456,Sherry Lara,2526,Personnel,Retrait,REF1456,2.72,5,2023-01-14
1457,Howard,Richard,boydlindsey@example.org,54,M,657352787603,Autre activité,67823,CTX,CR,2020-07-22,2022-10-20,2022-12-13,243511,CUST1457,Brian Jones,3386,Société,Virement,REF1457,4.15,2,2022-10-03
1458,Rodriguez,Michael,zanderson@example.org,52,F,865490344130,Autre activité,44143,CTX,CCT,2020-05-04,2023-01-03,2022-12-15,463413,CUST1458,Calvin Mendoza,3730,Personnel,Retrait,REF1458,2.04,2,2023-05-21
1459,Bryant,Kevin,bensonkevin@example.com,29,F,805796230430,Tourisme,83888,Arrangement C.,CR,2021-06-17,2022-11-03,2023-07-20,919482,CUST1459,Mary Brock,2895,Société,Versement,REF1459,2.52,9,2023-07-24
1460,Davis,Sharon,pbrown@example.net,29,F,173346539576,Travaux Publics,37158,Arrangement C.,CR,2020-12-20,2023-05-02,2023-10-05,120616,CUST1460,Susan Cooper,3461,Personnel,Retrait,REF1460,4.23,1,2023-01-14
1461,Lopez,Alexis,kingjustin@example.com,60,F,47345993778,Agriculture,96799,CTX,CR,2019-03-16,2023-05-16,2023-05-31,675334,CUST1461,Jeffrey Becker,4859,Société,Virement,REF1461,3.55,1,2022-04-29
1462,Johnson,Deborah,gmann@example.org,52,F,949320100161,Tourisme,5593,CTX,CCT,2021-08-31,2022-12-29,2023-05-16,286887,CUST1462,Laura Wade,1240,TRE,Virement,REF1462,2.62,1,2023-01-16
1463,Rodriguez,Jesse,jessehardin@example.com,33,M,557812523160,Autre activité,76792,Arrangement C.,CR,2022-12-24,2023-07-10,2022-11-14,946593,CUST1463,Rodney Cooper,909,TRE,Retrait,REF1463,1.49,4,2023-04-02
1464,Escobar,Charles,gyoung@example.org,57,F,227112447501,Transport,3973,Arrangement C.,CR,2019-03-11,2022-11-07,2023-05-20,911641,CUST1464,Michael Anderson,1835,Personnel,Virement,REF1464,2.24,3,2021-12-30
1465,Lambert,Timothy,cherylmiller@example.com,67,M,596141549608,Commerce et Dist.,36721,CTX,CCT,2020-09-07,2023-09-28,2023-02-23,402040,CUST1465,Kyle Ward,3283,Personnel,Versement,REF1465,3.13,6,2021-11-20
1466,Sosa,Patrick,panderson@example.net,26,M,854253037758,Agriculture,2770,CTX,CCT,2021-10-23,2023-02-02,2023-10-06,245559,CUST1466,Jeremy Ortega,446,TRE,Versement,REF1466,3.94,3,2023-07-21
1467,Hancock,Ricky,smithamanda@example.org,50,M,291368779749,Agriculture,82105,CTX,CR,2020-10-26,2023-06-18,2023-07-03,276592,CUST1467,Lori Carpenter,233,Personnel,Versement,REF1467,2.36,5,2023-06-30
1468,Henry,Mark,jerry20@example.net,19,M,218823137814,Travaux Publics,73573,Arrangement C.,CR,2019-05-27,2022-10-17,2023-09-04,962152,CUST1468,Daniel Smith,1641,Personnel,Versement,REF1468,3.23,2,2023-03-19
1469,Stark,Grant,curtis05@example.com,70,F,811427979199,Autre activité,22462,Arrangement C.,CR,2022-09-15,2022-11-24,2023-06-23,394833,CUST1469,Scott James,3643,Personnel,Retrait,REF1469,2.56,6,2023-02-07
1470,Richard,Larry,rachelspence@example.com,49,F,452495446240,Tourisme,69323,Arrangement C.,CR,2022-07-16,2023-08-28,2022-10-17,569415,CUST1470,Meagan Leonard,4274,Société,Retrait,REF1470,2.4,2,2021-12-09
1471,Gutierrez,Chloe,bjensen@example.com,62,F,362378646529,Commerce et Dist.,29368,CTX,CCT,2023-01-05,2023-08-08,2023-02-15,897905,CUST1471,Justin Owens,4696,TRE,Retrait,REF1471,3.64,3,2022-09-26
1472,Allen,Michael,wwright@example.com,65,M,745853761558,Autre activité,99463,CTX,CR,2022-05-26,2022-11-08,2023-10-05,974032,CUST1472,Wesley Garrett,1096,TRE,Versement,REF1472,3.22,5,2021-10-10
1473,Pugh,Alice,pyates@example.com,65,F,537870004611,Autre activité,82071,CTX,CR,2019-06-19,2023-08-03,2023-09-01,865018,CUST1473,Jennifer Fleming,3951,Société,Retrait,REF1473,3.14,8,2022-10-18
1474,Hill,Michelle,cdelacruz@example.org,67,M,934853092182,Tourisme,44009,CTX,CR,2023-02-04,2022-11-26,2022-11-10,917323,CUST1474,Craig Rivas,1411,Personnel,Versement,REF1474,4.89,9,2022-04-16
1475,Wolfe,Eric,tadams@example.org,35,M,988441827655,Travaux Publics,99686,Arrangement C.,CR,2019-09-27,2023-08-29,2023-01-25,242251,CUST1475,Ronald Norris,3977,Personnel,Virement,REF1475,2.36,2,2023-09-02
1476,Rodgers,Walter,brandonschaefer@example.com,70,M,716183212215,Autre activité,40438,CTX,CCT,2020-04-11,2023-07-18,2023-03-02,207615,CUST1476,Christine Wilson,3777,TRE,Versement,REF1476,1.83,6,2022-11-12
1477,Jones,Brad,sullivanmarissa@example.com,62,F,64774815375,Santé,58991,Arrangement C.,CCT,2018-12-01,2023-03-21,2023-01-24,964809,CUST1477,Becky Johnson,1575,Personnel,Retrait,REF1477,3.18,8,2023-04-18
1478,Brewer,Cassandra,jonesryan@example.org,59,M,734239650298,Tourisme,56149,Arrangement C.,CCT,2023-05-23,2023-08-11,2022-12-19,211058,CUST1478,Grace Wood,2201,Société,Virement,REF1478,2.31,9,2022-09-15
1479,Wise,Amanda,phall@example.org,24,F,485397135407,Commerce et Dist.,41205,Arrangement C.,CCT,2020-12-21,2023-06-08,2023-09-30,564666,CUST1479,Shelby Carroll,572,Personnel,Retrait,REF1479,1.25,9,2023-06-13
1480,Rodriguez,Kelly,rgordon@example.com,24,F,475438587044,Travaux Publics,23210,CTX,CCT,2019-11-16,2022-11-22,2023-02-21,114253,CUST1480,James Callahan,4121,Personnel,Versement,REF1480,2.1,8,2022-10-16
1481,Rodriguez,Jacob,brucemorales@example.com,20,M,885484355680,Tourisme,29287,CTX,CR,2019-05-11,2023-03-12,2023-02-04,233066,CUST1481,Kelly Cunningham,4427,Personnel,Virement,REF1481,1.29,8,2022-06-23
1482,Mcfarland,Mary,pscott@example.com,44,M,132334777641,Agriculture,91079,Arrangement C.,CCT,2020-09-30,2023-07-13,2023-05-02,965062,CUST1482,Abigail Garcia,481,Personnel,Virement,REF1482,4.79,5,2022-08-18
1483,Morris,Brian,suemercado@example.com,61,M,766268373889,Commerce et Dist.,15346,CTX,CCT,2019-12-11,2022-10-22,2022-10-12,941757,CUST1483,Kevin Velasquez,4031,Société,Virement,REF1483,3.54,7,2023-04-26
1484,Gonzalez,Edwin,jaredwebb@example.com,44,M,891959310273,Autre activité,67022,CTX,CR,2022-03-24,2023-06-29,2023-06-01,332600,CUST1484,Richard Gutierrez,3717,Société,Retrait,REF1484,3.51,7,2023-08-05
1485,Garcia,Lori,powerscrystal@example.com,25,M,323545265930,Tourisme,606,CTX,CCT,2022-07-04,2023-07-12,2023-09-17,895273,CUST1485,Daniel Clark,526,Société,Virement,REF1485,3.13,3,2022-04-11
1486,Shields,Jessica,beckerangela@example.org,21,F,73517872000,Santé,61470,CTX,CCT,2022-09-03,2022-11-03,2023-09-02,959235,CUST1486,Julie Watson,2591,TRE,Virement,REF1486,2.56,9,2023-09-24
1487,Chandler,Tracy,robyngordon@example.net,56,F,573011371558,Transport,62892,CTX,CCT,2022-01-23,2023-01-13,2023-04-04,921930,CUST1487,Nichole Norman,3685,TRE,Retrait,REF1487,1.31,6,2022-02-27
1488,Black,David,vcrosby@example.com,40,F,534054839007,Transport,91128,CTX,CR,2022-01-18,2023-01-06,2023-01-27,158872,CUST1488,Chelsey Wyatt,3204,Personnel,Retrait,REF1488,1.07,2,2022-09-11
1489,Patel,Steven,arnolddouglas@example.net,31,M,443410135442,Travaux Publics,67906,Arrangement C.,CCT,2023-01-21,2023-01-31,2022-11-01,273928,CUST1489,Julie Cole,3206,Personnel,Virement,REF1489,2.59,8,2023-05-05
1490,Black,Tabitha,kevinritter@example.org,60,F,318073826787,Commerce et Dist.,93955,Arrangement C.,CCT,2021-11-18,2023-07-24,2023-05-06,782393,CUST1490,Jacob Fleming,585,Personnel,Virement,REF1490,1.43,1,2022-07-24
1491,Short,Joseph,jmccarthy@example.net,60,M,910533210108,Travaux Publics,2304,Arrangement C.,CR,2022-02-19,2023-07-23,2023-03-27,498538,CUST1491,Daniel Reynolds,1770,Société,Versement,REF1491,3.71,1,2022-06-29
1492,Clark,Steven,jgonzalez@example.net,67,M,330883103587,Santé,59951,Arrangement C.,CR,2023-08-22,2023-10-03,2023-06-01,278109,CUST1492,Sarah Chaney,776,Personnel,Retrait,REF1492,3.36,9,2023-02-20
1493,Figueroa,Richard,johnsonnichole@example.org,69,M,321745754530,Travaux Publics,10893,CTX,CR,2019-07-01,2023-04-24,2022-12-17,805145,CUST1493,Dennis Rodriguez,1234,Société,Virement,REF1493,4.32,9,2023-09-16
1494,Baker,Lee,billyblair@example.org,37,F,638005378808,Santé,36495,CTX,CCT,2022-01-27,2023-10-08,2023-05-06,746306,CUST1494,Michael Gray,287,Personnel,Retrait,REF1494,4.68,2,2022-01-19
1495,Crane,Victoria,tracy55@example.com,24,F,999045808489,Transport,11785,CTX,CR,2021-07-06,2023-03-11,2023-09-12,656363,CUST1495,Patrick Perez,284,Personnel,Versement,REF1495,3.39,6,2023-05-01
1496,Olson,Mark,sarah07@example.net,63,M,130176447950,Transport,65178,CTX,CR,2018-12-18,2023-05-20,2023-06-23,379349,CUST1496,Mark Wolfe,4682,Personnel,Retrait,REF1496,2.91,3,2023-06-14
1497,Brooks,Jillian,myoung@example.com,51,F,943289950564,Tourisme,8622,CTX,CCT,2023-01-06,2023-05-27,2022-10-24,969130,CUST1497,Jennifer Hernandez,4221,TRE,Versement,REF1497,1.61,7,2022-05-14
1498,Chang,Thomas,byrderik@example.com,43,M,610517534580,Transport,96409,Arrangement C.,CCT,2019-08-09,2023-02-06,2022-12-07,470010,CUST1498,Nicholas Williams,4188,Personnel,Versement,REF1498,3.92,4,2022-02-11
1499,Wilson,Kevin,mmiller@example.org,37,F,5605142024,Agriculture,58162,CTX,CCT,2022-03-02,2023-08-15,2022-11-13,507015,CUST1499,Danny Hartman,2489,Société,Retrait,REF1499,4.23,7,2022-11-26
1500,Webster,Joseph,tonyahogan@example.com,53,F,884207024726,Transport,52339,CTX,CCT,2019-04-15,2022-12-06,2023-06-05,507643,CUST1500,Crystal Thompson,1005,TRE,Retrait,REF1500,2.1,9,2022-10-30
1501,Humphrey,Nicholas,jonesaaron@example.org,22,M,989204206608,Commerce et Dist.,3267,CTX,CCT,2023-01-06,2023-08-22,2023-04-03,636577,CUST1501,Todd Schneider,4336,Société,Versement,REF1501,4.01,8,2022-11-09
1502,Burton,Jeremy,patrick67@example.org,42,M,501821821981,Autre activité,13797,Arrangement C.,CCT,2022-11-04,2023-01-04,2023-04-09,258736,CUST1502,Daniel Smith,1009,Personnel,Retrait,REF1502,3.61,3,2023-10-04
1503,Jackson,Gregory,lisasullivan@example.org,23,F,750156611675,Tourisme,63395,Arrangement C.,CR,2018-12-07,2022-11-20,2023-06-08,41336,CUST1503,Daniel Martinez,3621,Société,Versement,REF1503,4.87,6,2022-09-03
1504,Webb,Andre,omcdaniel@example.org,24,M,227837756738,Santé,52164,CTX,CR,2019-02-27,2023-10-04,2023-04-30,820351,CUST1504,Shane Buck,2021,TRE,Virement,REF1504,1.97,5,2022-10-21
1505,Castro,Vincent,matthewmcconnell@example.org,33,M,928398580268,Travaux Publics,48025,Arrangement C.,CR,2021-01-26,2023-09-25,2023-01-12,169518,CUST1505,Edward Martinez,4470,TRE,Retrait,REF1505,3.08,2,2022-07-06
1506,Blackwell,Jeremy,wmyers@example.org,34,M,699477201800,Agriculture,44146,Arrangement C.,CCT,2021-02-16,2023-01-07,2023-05-01,310404,CUST1506,Nicole Cox,3935,Société,Retrait,REF1506,1.75,4,2023-02-11
1507,Herman,Audrey,abrown@example.net,18,F,50793766311,Travaux Publics,48303,CTX,CCT,2022-06-19,2023-06-27,2023-05-21,946692,CUST1507,Meghan Hoffman,3209,Société,Virement,REF1507,3.07,8,2022-11-17
1508,Long,Elaine,jessica80@example.org,27,M,788880831299,Autre activité,10905,Arrangement C.,CCT,2019-02-23,2023-05-01,2023-09-20,945096,CUST1508,Dr. Donna Guerra,2793,Personnel,Retrait,REF1508,1.53,1,2023-04-08
1509,Huang,Sherry,savannah96@example.org,70,M,386653981004,Tourisme,91262,Arrangement C.,CCT,2020-04-17,2023-08-30,2023-06-16,262067,CUST1509,Karen Morris,2915,Société,Virement,REF1509,1.48,5,2021-12-23
1510,Morgan,Scott,andrewscott@example.org,49,F,267163517998,Commerce et Dist.,40192,Arrangement C.,CCT,2022-02-06,2023-03-17,2023-04-24,255185,CUST1510,Mark Cabrera,3190,Société,Versement,REF1510,3.41,1,2021-12-01
1511,Farmer,Maria,aramos@example.net,57,M,914894213771,Tourisme,41609,CTX,CCT,2018-11-11,2023-07-22,2023-06-07,707338,CUST1511,Thomas Gentry,2822,Personnel,Retrait,REF1511,3.66,5,2022-03-10
1512,Guzman,Kerri,jonathan30@example.net,30,M,555153679350,Travaux Publics,60243,Arrangement C.,CCT,2020-12-20,2023-06-28,2023-10-08,852561,CUST1512,Antonio Mcguire,4464,TRE,Retrait,REF1512,2.74,1,2023-04-21
1513,Harris,Amy,jbarry@example.net,64,M,119556498388,Santé,93604,CTX,CCT,2019-09-18,2023-07-22,2023-02-26,168513,CUST1513,Mary Hampton,4890,Personnel,Retrait,REF1513,5.0,7,2023-05-04
1514,Bennett,Troy,nathaniel53@example.net,40,F,669919731892,Autre activité,57152,CTX,CR,2021-07-26,2022-12-26,2023-04-02,444461,CUST1514,William Burns,3389,Société,Retrait,REF1514,1.03,6,2022-06-11
1515,Hester,Joann,katherineconley@example.com,27,M,936126153451,Santé,42882,CTX,CCT,2020-12-31,2023-04-21,2023-06-03,468750,CUST1515,Raymond Beasley,239,Personnel,Virement,REF1515,3.61,9,2023-05-22
1516,Dixon,James,hawkinsjessica@example.org,37,F,838649212042,Commerce et Dist.,89583,Arrangement C.,CCT,2022-04-30,2023-08-09,2022-10-30,19647,CUST1516,Laurie Smith,1461,TRE,Virement,REF1516,1.21,3,2023-05-06
1517,Owens,Amanda,kathy06@example.com,36,M,723588834145,Agriculture,39021,CTX,CCT,2020-08-12,2022-12-07,2022-11-06,123360,CUST1517,Hannah Lewis,692,Personnel,Versement,REF1517,3.43,3,2022-01-12
1518,Edwards,Nicole,armstrongpaul@example.com,64,F,451767542323,Travaux Publics,49263,Arrangement C.,CCT,2022-09-12,2023-06-13,2023-07-23,918794,CUST1518,Melissa Perez,214,Personnel,Virement,REF1518,4.91,1,2023-01-09
1519,Flores,Adam,icrawford@example.com,28,M,648150374940,Tourisme,38688,Arrangement C.,CCT,2019-08-01,2023-04-19,2022-10-14,335135,CUST1519,Lisa Burns,805,Personnel,Retrait,REF1519,1.9,5,2023-06-01
1520,Tapia,Elizabeth,isabella17@example.net,65,M,278640910273,Santé,80108,CTX,CR,2019-03-26,2023-05-26,2022-10-28,312395,CUST1520,Michaela Phillips,4959,Société,Virement,REF1520,3.86,5,2023-07-08
1521,Contreras,Denise,smithkendra@example.com,45,F,148950558417,Transport,99236,Arrangement C.,CR,2020-03-30,2023-03-28,2023-08-20,523223,CUST1521,Shannon Wolfe,1616,Société,Versement,REF1521,3.37,1,2022-12-28
1522,White,Angela,russellshannon@example.net,59,F,533641138221,Santé,5902,CTX,CR,2022-02-21,2023-06-14,2023-06-19,14853,CUST1522,Jason Gordon,2372,TRE,Retrait,REF1522,3.84,1,2022-07-03
1523,Wright,Benjamin,nbrown@example.org,55,F,241876870680,Tourisme,14871,CTX,CR,2021-11-16,2023-04-17,2023-03-13,290498,CUST1523,Megan Moore,494,TRE,Retrait,REF1523,1.63,8,2023-06-17
1524,Christian,Benjamin,patriciaeaton@example.com,35,F,468646910974,Tourisme,24599,CTX,CR,2020-11-11,2023-09-26,2023-04-24,99621,CUST1524,Katherine Marshall,2938,TRE,Retrait,REF1524,1.76,4,2023-03-16
1525,Carson,Lisa,gloverkayla@example.org,68,F,415027761001,Autre activité,97313,CTX,CR,2021-01-14,2023-02-21,2023-08-17,956257,CUST1525,Tiffany Clay,2931,TRE,Virement,REF1525,4.99,7,2022-02-18
1526,Jones,Jason,jonesevan@example.com,26,F,509414967712,Transport,51895,Arrangement C.,CR,2022-07-22,2023-06-22,2022-11-26,429325,CUST1526,Michael Jefferson,1799,Personnel,Retrait,REF1526,2.32,1,2023-04-15
1527,Fox,Heather,tanderson@example.com,39,M,724796710984,Commerce et Dist.,85299,CTX,CCT,2021-08-09,2023-05-23,2023-02-01,726613,CUST1527,Penny Scott,327,TRE,Versement,REF1527,1.57,10,2022-05-27
1528,Smith,Daisy,johngarcia@example.net,58,F,331066279626,Agriculture,12176,Arrangement C.,CR,2021-03-12,2023-10-08,2023-04-03,444864,CUST1528,Robert Bell,3721,TRE,Retrait,REF1528,4.89,9,2021-10-25
1529,Gray,Michael,onealbenjamin@example.net,27,F,573570899855,Agriculture,65068,Arrangement C.,CCT,2019-01-08,2023-05-25,2023-05-17,893565,CUST1529,Stephen Rogers,2310,TRE,Versement,REF1529,4.25,4,2023-07-10
1530,Roman,Cheryl,walkersarah@example.net,64,M,847931546921,Transport,64121,CTX,CR,2021-11-17,2022-12-31,2023-08-12,134749,CUST1530,Emily Robinson,1885,Société,Virement,REF1530,4.78,6,2023-02-16
1531,Holt,Edward,alexandra57@example.org,46,M,62309778152,Agriculture,54123,Arrangement C.,CCT,2020-04-07,2023-05-02,2023-07-10,859412,CUST1531,Vicki Arias,4203,Personnel,Virement,REF1531,4.65,5,2022-11-04
1532,Nelson,Joshua,pattersonjennifer@example.org,40,F,706268591266,Autre activité,5553,CTX,CR,2020-03-31,2023-10-05,2023-04-25,777941,CUST1532,Morgan Howard,4143,Société,Virement,REF1532,3.23,2,2023-06-14
1533,Hurley,Wendy,gmerritt@example.net,25,M,16059799778,Autre activité,8905,Arrangement C.,CR,2020-02-03,2022-11-13,2022-11-13,783372,CUST1533,Mark Torres,334,Société,Virement,REF1533,4.43,5,2022-01-21
1534,Cox,Aaron,bakersamantha@example.com,38,M,97907611738,Santé,39743,CTX,CR,2023-02-24,2023-02-16,2023-04-23,425670,CUST1534,Anna Smith,1608,Personnel,Virement,REF1534,2.08,9,2021-12-29
1535,Johnson,Sheri,uthomas@example.com,67,M,175997520250,Transport,48535,Arrangement C.,CCT,2020-09-10,2022-11-07,2023-07-27,584573,CUST1535,Charles Stephenson,4274,Société,Virement,REF1535,2.87,3,2022-05-08
1536,Jenkins,Stephanie,cindy09@example.com,38,F,229965351011,Transport,46360,CTX,CCT,2021-06-26,2023-01-20,2023-03-29,440538,CUST1536,Spencer Taylor,2400,TRE,Versement,REF1536,3.08,7,2022-09-23
1537,Coleman,Derek,tammy93@example.com,33,M,289812709975,Santé,74563,CTX,CR,2021-01-09,2023-03-11,2023-05-13,192964,CUST1537,Ryan Warren,3107,Société,Versement,REF1537,2.13,3,2023-02-08
1538,Johnson,Tanya,nwyatt@example.com,24,F,888079507225,Agriculture,85972,Arrangement C.,CCT,2019-10-10,2023-06-19,2023-05-02,387034,CUST1538,Michael Wilkins,3673,Société,Retrait,REF1538,2.05,7,2021-10-18
1539,Cervantes,Amy,fordrichard@example.org,47,M,35936339361,Agriculture,55490,Arrangement C.,CR,2022-09-22,2023-01-19,2022-12-31,758807,CUST1539,Kenneth Young,3270,Personnel,Virement,REF1539,2.4,1,2022-04-23
1540,Lewis,Sara,caroline96@example.com,32,M,106144613289,Travaux Publics,959,Arrangement C.,CR,2023-03-16,2023-08-15,2023-02-14,143206,CUST1540,Nancy Berry,3139,Société,Versement,REF1540,4.63,3,2022-04-09
1541,Johnson,Christopher,melissavelez@example.com,28,M,62813492713,Autre activité,62829,CTX,CR,2019-01-04,2023-08-27,2023-05-12,57951,CUST1541,Melissa Ponce,2128,Personnel,Versement,REF1541,3.16,9,2022-05-31
1542,Norris,Curtis,michaelchase@example.net,52,M,914411605451,Commerce et Dist.,75856,Arrangement C.,CCT,2022-05-01,2023-01-18,2023-07-31,906264,CUST1542,Christina Richardson,4289,TRE,Retrait,REF1542,2.99,2,2023-08-06
1543,Peterson,Matthew,ushaw@example.net,26,F,32684932979,Transport,28252,Arrangement C.,CR,2023-01-17,2023-02-18,2023-04-16,694017,CUST1543,Claire Brown,2707,TRE,Retrait,REF1543,1.25,7,2023-04-11
1544,Trevino,David,johnbrown@example.org,29,M,565279006906,Santé,74439,CTX,CCT,2022-08-25,2022-11-02,2023-09-21,888347,CUST1544,John Cooper,711,Société,Virement,REF1544,3.56,2,2023-09-15
1545,Melendez,Ariana,james40@example.org,56,F,956872781298,Transport,6312,Arrangement C.,CR,2018-10-22,2023-08-21,2023-01-23,574042,CUST1545,Frances Howard,2789,TRE,Versement,REF1545,3.69,4,2021-11-25
1546,Oneal,Lauren,michelle64@example.net,24,F,609210398307,Commerce et Dist.,5666,CTX,CCT,2022-10-13,2023-08-15,2022-11-18,653879,CUST1546,Julie Hendricks,1915,TRE,Versement,REF1546,2.47,2,2021-10-19
1547,Manning,Deborah,jerrywebster@example.org,19,M,952393898489,Commerce et Dist.,60946,Arrangement C.,CCT,2020-01-04,2023-09-01,2022-12-31,662985,CUST1547,Mr. Joseph Hernandez,2261,TRE,Virement,REF1547,4.84,10,2022-05-12
1548,Wilson,Barbara,patrickterrell@example.net,64,F,51292909184,Santé,51165,CTX,CR,2022-01-25,2023-03-24,2023-07-01,548848,CUST1548,Mark Stanton,795,TRE,Retrait,REF1548,2.72,10,2023-08-25
1549,Hoffman,Timothy,jamescoleman@example.net,60,F,875305598950,Commerce et Dist.,92137,Arrangement C.,CR,2020-07-04,2023-08-23,2023-05-18,324695,CUST1549,Katherine Johnson,4145,TRE,Retrait,REF1549,3.83,4,2022-06-28
1550,Estrada,Timothy,harperscott@example.com,69,M,559470840363,Autre activité,89532,Arrangement C.,CR,2019-05-24,2023-02-12,2023-04-11,794735,CUST1550,Stephen Jennings,1789,Personnel,Retrait,REF1550,4.82,4,2022-08-16
1551,Hanson,Allison,dicksonwesley@example.net,45,F,42171908557,Tourisme,39996,CTX,CR,2019-01-29,2023-07-21,2023-03-07,618871,CUST1551,Mrs. Tracey Rivera,2703,Personnel,Versement,REF1551,2.41,10,2022-10-20
1552,Reyes,William,zachary01@example.com,36,F,909026609585,Travaux Publics,22342,Arrangement C.,CR,2023-03-03,2023-01-31,2023-08-14,154562,CUST1552,Gabriel Parker,4006,TRE,Versement,REF1552,1.1,5,2023-03-16
1553,Stevens,Kevin,zcurry@example.net,31,F,901219799761,Agriculture,91677,CTX,CR,2022-01-04,2023-01-29,2023-03-27,237051,CUST1553,Robert White,461,Personnel,Retrait,REF1553,4.19,7,2021-11-06
1554,Durham,Paul,derekhernandez@example.com,36,M,995766240685,Santé,78852,Arrangement C.,CR,2019-06-07,2023-03-27,2023-04-09,563390,CUST1554,Derrick Harmon,120,TRE,Virement,REF1554,1.27,6,2022-11-01
1555,Phillips,Stacy,rileykenneth@example.net,43,F,31752381462,Transport,886,CTX,CCT,2021-02-05,2023-04-04,2023-03-20,228611,CUST1555,Jordan Mcclain,4435,Personnel,Virement,REF1555,2.93,2,2023-07-07
